Country,Medal,Lower,Upper
NZL,0.0,-1.736004555202157,3.395997037300054
SYR,0.0,-1.736004555202157,3.395997037300054
EST,0.0,-1.736004555202157,3.395997037300054
FRA,0.0,-1.736004555202157,3.395997037300054
DEN,0.0,-1.736004555202157,3.395997037300054
KAZ,0.0,-1.736004555202157,3.395997037300054
TPE,0.0,-1.736004555202157,3.395997037300054
ESP,0.0,-1.736004555202157,3.395997037300054
SLE,0.0,-1.736004555202157,3.395997037300054
ECU,0.0,-1.736004555202157,3.395997037300054
ANG,0.0,-1.736004555202157,3.395997037300054
GEO,0.0,-1.736004555202157,3.395997037300054
SRB,0.0,-1.736004555202157,3.395997037300054
LES,0.0,-1.736004555202157,3.395997037300054
YAR,0.0,-1.736004555202157,3.395997037300054
MEX,0.0,-1.736004555202157,3.395997037300054
IRI,0.0,-1.736004555202157,3.395997037300054
COD,0.0,-1.736004555202157,3.395997037300054
ARG,0.0,-1.736004555202157,3.395997037300054
ROC,0.0,-1.736004555202157,3.395997037300054
DOM,0.0,-1.736004555202157,3.395997037300054
TTO,0.0,-1.736004555202157,3.395997037300054
NED,0.0,-1.736004555202157,3.395997037300054
JPN,0.0,-1.736004555202157,3.395997037300054
KOR,0.0,-1.736004555202157,3.395997037300054
BIZ,0.0,-1.736004555202157,3.395997037300054
GBR,0.0,-1.736004555202157,3.395997037300054
GAB,0.0,-1.736004555202157,3.395997037300054
